./QF_LIA/20220307-SMPT/FMS-PT-00050/RC-14.smt2,integer,50,50100,9,
./QF_LIA/20220307-SMPT/RobotManipulation-PT-00001/RC-12.smt2,integer,2,24,4,
./QF_LIA/20220307-SMPT/RobotManipulation-PT-00050/RF-00.smt2,integer,100,100200,10,
./QF_LIA/20220307-SMPT/Eratosthenes-PT-010/RC-00.smt2,integer,2,22,3,
./QF_LIA/20220307-SMPT/HypertorusGrid-PT-d2k1p8b00/RC-04.smt2,integer,32,3264,8,
./QF_LIA/20220307-SMPT/Kanban-PT-05000/RC-11.smt2,integer,5000,500010000,16,
./QF_LIA/20220307-SMPT/SmallOperatingSystem-PT-MT0064DC0016/RC-13.smt2,integer,64,64128,9,
./QF_LIA/20220307-SMPT/SmallOperatingSystem-PT-MT4096DC1024/RF-09.smt2,integer,4096,40968192,15,
./QF_LIA/20220307-SMPT/Kanban-PT-00020/RC-07.smt2,integer,20,2040,8,
./QF_LIA/20220307-SMPT/RobotManipulation-PT-00010/RC-07.smt2,integer,20,2040,8,
./QF_LIA/20220307-SMPT/RobotManipulation-PT-00100/RC-09.smt2,integer,200,200400,11,
./QF_LIA/20220307-SMPT/Kanban-PT-50000/RF-09.smt2,integer,50000,50000100000,19,
./QF_LIA/20220307-SMPT/Kanban-PT-00500/RC-03.smt2,integer,500,5001000,12,
./QF_LIA/20220307-SMPT/FMS-PT-01000/RC-10.smt2,integer,1000,10002000,13,
./QF_LIA/20220307-SMPT/SwimmingPool-PT-01/RF-05.smt2,integer,20,2040,8,
./QF_LIA/20220307-SMPT/MAPK-PT-05120/RF-01.smt2,integer,5120,512010240,16,
./QF_LIA/20220307-SMPT/FMS-PT-00100/RF-09.smt2,integer,100,100200,10,
./QF_LIA/20220307-SMPT/SwimmingPool-PT-10/RC-04.smt2,integer,200,200400,11,
./QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-60/c60_problem__002.smt2.slack.smt2,integer,90,9016200,16,
./QF_LIA/20220307-SMPT/MAPK-PT-10240/RF-10.smt2,integer,10240,1024020480,17,
./QF_LIA/20220307-SMPT/SmallOperatingSystem-PT-MT4096DC2048/RF-00.smt2,integer,4096,40968192,15,
./QF_LIA/20220307-SMPT/HouseConstruction-PT-02000/RC-03.smt2,integer,2000,20004000,14,
./QF_LIA/20220307-SMPT/DatabaseWithMutex-PT-02/RC-15.smt2,integer,2,24,4,
./QF_LIA/20220307-SMPT/FMS-PT-20000/RC-00.smt2,integer,20000,2000040000,18,
./QF_LIA/20220307-SMPT/MAPK-PT-05120/RC-13.smt2,integer,5120,512010240,16,
./QF_LIA/20220307-SMPT/IOTPpurchase-PT-C03M03P03D03/RF-11.smt2,integer,4,48,5,
./QF_LIA/20220307-SMPT/IOTPpurchase-PT-C12M10P15D17/RC-07.smt2,integer,17,1734,8,
./QF_LIA/calypto/problem-004308.cvc.1.smt2,integer,4294967296,429496729618446744078004518912,67,
./QF_LIA/20220307-SMPT/FMS-PT-00500/RF-11.smt2,integer,500,5001000,12,
./QF_LIA/CAV_2009_benchmarks/smt/15-vars/problem__004.smt2,integer,1,12,3,
./QF_LIA/20220307-SMPT/ERK-PT-000001/RF-10.smt2,integer,1,12,3,
./QF_LIA/20220307-SMPT/MAPK-PT-02560/RC-13.smt2,integer,2560,25605120,15,
./QF_LIA/20220307-SMPT/SwimmingPool-PT-01/RC-02.smt2,integer,20,2040,8,
./QF_LIA/20220307-SMPT/HouseConstruction-PT-00002/RC-01.smt2,integer,2,24,4,
./QF_LIA/20220307-SMPT/IOTPpurchase-PT-C03M03P03D03/RF-10.smt2,integer,4,48,5,
./QF_LIA/20220307-SMPT/Diffusion2D-PT-D05N100/RF-05.smt2,integer,100,100200,10,
./QF_LIA/20220307-SMPT/FMS-PT-00200/RC-07.smt2,integer,200,200400,11,
./QF_LIA/20220307-SMPT/Diffusion2D-PT-D10N100/RF-14.smt2,integer,100,100200,10,
./QF_LIA/20220307-SMPT/MAPK-PT-05120/RC-10.smt2,integer,5120,512010240,16,
./QF_LIA/slacks/40-10.slack.smt2,integer,2,26,5,
./QF_LIA/20220307-SMPT/Eratosthenes-PT-200/RF-03.smt2,integer,1,11,3,
./QF_LIA/20220307-SMPT/Eratosthenes-PT-050/RF-12.smt2,integer,1,11,3,
./QF_LIA/20220307-SMPT/SmallOperatingSystem-PT-MT0016DC0008/RC-08.smt2,integer,16,1632,7,
./QF_LIA/20220307-SMPT/Diffusion2D-PT-D05N300/RF-04.smt2,integer,300,300600,12,
./QF_LIA/20220307-SMPT/HouseConstruction-PT-00002/RF-12.smt2,integer,2,24,4,
./QF_LIA/dillig/30-3.smt2,integer,3,351,8,
